Source sentence,Answer sentence
is kostas pizza and seafood cheap,kostas pizza and seafood is a Restaurant_Name entity .
is kostas pizza and seafood cheap,cheap is a Price entity .
can you find a well rated japanese restaurant with parking,can is not a named entity .
can you find a well rated japanese restaurant with parking,you is not a named entity .
can you find a well rated japanese restaurant with parking,find is not a named entity .
can you find a well rated japanese restaurant with parking,a is not a named entity .
can you find a well rated japanese restaurant with parking,well rated is a Rating entity .
can you find a well rated japanese restaurant with parking,japanese is a Cuisine entity .
can you find a well rated japanese restaurant with parking,restaurant is not a named entity .
can you find a well rated japanese restaurant with parking,with is not a named entity .
can you find a well rated japanese restaurant with parking,parking is a Amenity entity .
where can i get a martini after 1 am in faneuil hall square,where is not a named entity .
where can i get a martini after 1 am in faneuil hall square,can is not a named entity .
where can i get a martini after 1 am in faneuil hall square,i is not a named entity .
where can i get a martini after 1 am in faneuil hall square,get is not a named entity .
where can i get a martini after 1 am in faneuil hall square,a is not a named entity .
where can i get a martini after 1 am in faneuil hall square,martini is a Dish entity .
where can i get a martini after 1 am in faneuil hall square,after 1 am is a Hours entity .
where can i get a martini after 1 am in faneuil hall square,in faneuil hall square is a Location entity .
i want to take my date to a restaurant that has good mushrooms,i is not a named entity .
i want to take my date to a restaurant that has good mushrooms,want is not a named entity .
i want to take my date to a restaurant that has good mushrooms,to is not a named entity .
i want to take my date to a restaurant that has good mushrooms,take is not a named entity .
i want to take my date to a restaurant that has good mushrooms,my is not a named entity .
i want to take my date to a restaurant that has good mushrooms,date is not a named entity .
i want to take my date to a restaurant that has good mushrooms,to is not a named entity .
i want to take my date to a restaurant that has good mushrooms,a is not a named entity .
i want to take my date to a restaurant that has good mushrooms,restaurant is not a named entity .
i want to take my date to a restaurant that has good mushrooms,that is not a named entity .
i want to take my date to a restaurant that has good mushrooms,has is not a named entity .
i want to take my date to a restaurant that has good mushrooms,good is a Rating entity .
i want to take my date to a restaurant that has good mushrooms,mushrooms is a Cuisine entity .
find me the phone number of the closest restaurant,find is not a named entity .
find me the phone number of the closest restaurant,me is not a named entity .
find me the phone number of the closest restaurant,the is not a named entity .
find me the phone number of the closest restaurant,phone is not a named entity .
find me the phone number of the closest restaurant,number is not a named entity .
find me the phone number of the closest restaurant,of is not a named entity .
find me the phone number of the closest restaurant,the is not a named entity .
find me the phone number of the closest restaurant,closest is a Location entity .
find me the phone number of the closest restaurant,restaurant is not a named entity .
what mcdonalds are there near hitown city that are still open,what is not a named entity .
what mcdonalds are there near hitown city that are still open,mcdonalds is a Restaurant_Name entity .
what mcdonalds are there near hitown city that are still open,are is not a named entity .
what mcdonalds are there near hitown city that are still open,there is not a named entity .
what mcdonalds are there near hitown city that are still open,near hitown city is a Location entity .
what mcdonalds are there near hitown city that are still open,that is not a named entity .
what mcdonalds are there near hitown city that are still open,are is not a named entity .
what mcdonalds are there near hitown city that are still open,still open is a Hours entity .
is ngon bistro open right now,is is not a named entity .
is ngon bistro open right now,ngon bistro is a Restaurant_Name entity .
is ngon bistro open right now,open right now is a Hours entity .
can i get to a place that is within five minutes and open before noon,can is not a named entity .
can i get to a place that is within five minutes and open before noon,i is not a named entity .
can i get to a place that is within five minutes and open before noon,get is not a named entity .
can i get to a place that is within five minutes and open before noon,to is not a named entity .
can i get to a place that is within five minutes and open before noon,a is not a named entity .
can i get to a place that is within five minutes and open before noon,place is not a named entity .
can i get to a place that is within five minutes and open before noon,that is not a named entity .
can i get to a place that is within five minutes and open before noon,is is not a named entity .
can i get to a place that is within five minutes and open before noon,within five minutes is a Location entity .
can i get to a place that is within five minutes and open before noon,and is not a named entity .
can i get to a place that is within five minutes and open before noon,open before noon is a Hours entity .
does the german restaurant within 5 miles of here offer carry out,does is not a named entity .
does the german restaurant within 5 miles of here offer carry out,the is not a named entity .
does the german restaurant within 5 miles of here offer carry out,german is a Cuisine entity .
does the german restaurant within 5 miles of here offer carry out,restaurant is not a named entity .
does the german restaurant within 5 miles of here offer carry out,within 5 miles of here is a Location entity .
does the german restaurant within 5 miles of here offer carry out,offer is not a named entity .
does the german restaurant within 5 miles of here offer carry out,carry out is a Amenity entity .
i would like a listing of olive gardens in the area,i is not a named entity .
i would like a listing of olive gardens in the area,would is not a named entity .
i would like a listing of olive gardens in the area,like is not a named entity .
i would like a listing of olive gardens in the area,a is not a named entity .
i would like a listing of olive gardens in the area,listing is not a named entity .
i would like a listing of olive gardens in the area,of is not a named entity .
i would like a listing of olive gardens in the area,olive gardens is a Restaurant_Name entity .
i would like a listing of olive gardens in the area,in the area is a Location entity .
where can i get some good home made soup,where is not a named entity .
where can i get some good home made soup,can is not a named entity .
where can i get some good home made soup,i is not a named entity .
where can i get some good home made soup,get is not a named entity .
where can i get some good home made soup,some is not a named entity .
where can i get some good home made soup,good is a Rating entity .
where can i get some good home made soup,home made soup is a Dish entity .
is there place five minutes from here with a good price with vegetable dishes,is is not a named entity .
is there place five minutes from here with a good price with vegetable dishes,there is not a named entity .
is there place five minutes from here with a good price with vegetable dishes,place is not a named entity .
is there place five minutes from here with a good price with vegetable dishes,five minutes from here is a Location entity .
is there place five minutes from here with a good price with vegetable dishes,with is not a named entity .
is there place five minutes from here with a good price with vegetable dishes,a is not a named entity .
is there place five minutes from here with a good price with vegetable dishes,good is a Price entity .
is there place five minutes from here with a good price with vegetable dishes,price is not a named entity .
is there place five minutes from here with a good price with vegetable dishes,with is not a named entity .
is there place five minutes from here with a good price with vegetable dishes,vegetable is a Dish entity .
is there place five minutes from here with a good price with vegetable dishes,dishes is not a named entity .
find a mcdonalds near here,find is not a named entity .
find a mcdonalds near here,a is not a named entity .
find a mcdonalds near here,mcdonalds is a Restaurant_Name entity .
find a mcdonalds near here,near here is a Location entity .
where can i get carry out chinese food in glen cove new york,where is not a named entity .
where can i get carry out chinese food in glen cove new york,can is not a named entity .
where can i get carry out chinese food in glen cove new york,i is not a named entity .
where can i get carry out chinese food in glen cove new york,get is not a named entity .
where can i get carry out chinese food in glen cove new york,carry out is a Amenity entity .
where can i get carry out chinese food in glen cove new york,chinese is a Cuisine entity .
where can i get carry out chinese food in glen cove new york,food is not a named entity .
where can i get carry out chinese food in glen cove new york,in is not a named entity .
where can i get carry out chinese food in glen cove new york,glen cove new york is a Location entity .
does the nearest steakhouse take diners club,does is not a named entity .
does the nearest steakhouse take diners club,the is not a named entity .
does the nearest steakhouse take diners club,nearest is a Location entity .
does the nearest steakhouse take diners club,steakhouse is a Cuisine entity .
does the nearest steakhouse take diners club,take is not a named entity .
does the nearest steakhouse take diners club,diners club is a Amenity entity .
locate any fast food restaurant other than kfc that is within 3 miles,locate is not a named entity .
locate any fast food restaurant other than kfc that is within 3 miles,any is not a named entity .
locate any fast food restaurant other than kfc that is within 3 miles,fast food is a Cuisine entity .
locate any fast food restaurant other than kfc that is within 3 miles,restaurant is not a named entity .
locate any fast food restaurant other than kfc that is within 3 miles,other than is a Amenity entity .
locate any fast food restaurant other than kfc that is within 3 miles,kfc is a Restaurant_Name entity .
locate any fast food restaurant other than kfc that is within 3 miles,that is not a named entity .
locate any fast food restaurant other than kfc that is within 3 miles,is is not a named entity .
locate any fast food restaurant other than kfc that is within 3 miles,within 3 miles is a Location entity .
im feeling mexican food,im is not a named entity .
im feeling mexican food,feeling is not a named entity .
im feeling mexican food,mexican is a Cuisine entity .
im feeling mexican food,food is not a named entity .
i need a cheap place with a strong rating,i is not a named entity .
i need a cheap place with a strong rating,need is not a named entity .
i need a cheap place with a strong rating,a is not a named entity .
i need a cheap place with a strong rating,cheap is a Price entity .
i need a cheap place with a strong rating,place is not a named entity .
i need a cheap place with a strong rating,with is not a named entity .
i need a cheap place with a strong rating,a is not a named entity .
i need a cheap place with a strong rating,strong rating is a Rating entity .
is there an italian restaurant along my route that has a lot of parking space,is is not a named entity .
is there an italian restaurant along my route that has a lot of parking space,there is not a named entity .
is there an italian restaurant along my route that has a lot of parking space,an is not a named entity .
is there an italian restaurant along my route that has a lot of parking space,italian is a Cuisine entity .
is there an italian restaurant along my route that has a lot of parking space,restaurant is not a named entity .
is there an italian restaurant along my route that has a lot of parking space,along my route is a Location entity .
is there an italian restaurant along my route that has a lot of parking space,that is not a named entity .
is there an italian restaurant along my route that has a lot of parking space,has is not a named entity .
is there an italian restaurant along my route that has a lot of parking space,a is not a named entity .
is there an italian restaurant along my route that has a lot of parking space,lot is not a named entity .
is there an italian restaurant along my route that has a lot of parking space,of is not a named entity .
is there an italian restaurant along my route that has a lot of parking space,parking space is a Amenity entity .
whats the best place to eat in a downtown hotel,whats is not a named entity .
whats the best place to eat in a downtown hotel,the is not a named entity .
whats the best place to eat in a downtown hotel,best is a Rating entity .
whats the best place to eat in a downtown hotel,place is not a named entity .
whats the best place to eat in a downtown hotel,to is not a named entity .
whats the best place to eat in a downtown hotel,eat is not a named entity .
whats the best place to eat in a downtown hotel,in is not a named entity .
whats the best place to eat in a downtown hotel,a is not a named entity .
whats the best place to eat in a downtown hotel,downtown hotel is a Location entity .
can you find me a restaurant that serves vegetarian meatloaf,can is not a named entity .
can you find me a restaurant that serves vegetarian meatloaf,you is not a named entity .
can you find me a restaurant that serves vegetarian meatloaf,find is not a named entity .
can you find me a restaurant that serves vegetarian meatloaf,me is not a named entity .
can you find me a restaurant that serves vegetarian meatloaf,a is not a named entity .
can you find me a restaurant that serves vegetarian meatloaf,restaurant is not a named entity .
can you find me a restaurant that serves vegetarian meatloaf,that is not a named entity .
can you find me a restaurant that serves vegetarian meatloaf,serves is not a named entity .
can you find me a restaurant that serves vegetarian meatloaf,vegetarian meatloaf is a Dish entity .
is the jamaica plain house pizza restaurant cheap,is is not a named entity .
is the jamaica plain house pizza restaurant cheap,the is not a named entity .
is the jamaica plain house pizza restaurant cheap,jamaica plain house pizza is a Restaurant_Name entity .
is the jamaica plain house pizza restaurant cheap,restaurant is not a named entity .
is the jamaica plain house pizza restaurant cheap,cheap is not a named entity .
i need to make reservations for three at alfredos for tomorrow night at 6 pm,i is not a named entity .
i need to make reservations for three at alfredos for tomorrow night at 6 pm,need is not a named entity .
i need to make reservations for three at alfredos for tomorrow night at 6 pm,to is not a named entity .
i need to make reservations for three at alfredos for tomorrow night at 6 pm,make is not a named entity .
i need to make reservations for three at alfredos for tomorrow night at 6 pm,reservations is a Amenity entity .
i need to make reservations for three at alfredos for tomorrow night at 6 pm,for is not a named entity .
i need to make reservations for three at alfredos for tomorrow night at 6 pm,three is not a named entity .
i need to make reservations for three at alfredos for tomorrow night at 6 pm,at is not a named entity .
i need to make reservations for three at alfredos for tomorrow night at 6 pm,alfredos is a Restaurant_Name entity .
i need to make reservations for three at alfredos for tomorrow night at 6 pm,for is not a named entity .
i need to make reservations for three at alfredos for tomorrow night at 6 pm,tomorrow night at 6 pm is a Hours entity .
im wanting to drink a lot of wine who gives you a lot of wine for the money thats within 5 miles,im is not a named entity .
im wanting to drink a lot of wine who gives you a lot of wine for the money thats within 5 miles,wanting is not a named entity .
im wanting to drink a lot of wine who gives you a lot of wine for the money thats within 5 miles,to is not a named entity .
im wanting to drink a lot of wine who gives you a lot of wine for the money thats within 5 miles,drink is not a named entity .
im wanting to drink a lot of wine who gives you a lot of wine for the money thats within 5 miles,a is not a named entity .
im wanting to drink a lot of wine who gives you a lot of wine for the money thats within 5 miles,lot is not a named entity .
im wanting to drink a lot of wine who gives you a lot of wine for the money thats within 5 miles,of is not a named entity .
im wanting to drink a lot of wine who gives you a lot of wine for the money thats within 5 miles,wine is a Dish entity .
im wanting to drink a lot of wine who gives you a lot of wine for the money thats within 5 miles,who is not a named entity .
im wanting to drink a lot of wine who gives you a lot of wine for the money thats within 5 miles,gives is not a named entity .
im wanting to drink a lot of wine who gives you a lot of wine for the money thats within 5 miles,you is not a named entity .
im wanting to drink a lot of wine who gives you a lot of wine for the money thats within 5 miles,a is not a named entity .
im wanting to drink a lot of wine who gives you a lot of wine for the money thats within 5 miles,lot of wine for the money is a Price entity .
im wanting to drink a lot of wine who gives you a lot of wine for the money thats within 5 miles,thats is not a named entity .
im wanting to drink a lot of wine who gives you a lot of wine for the money thats within 5 miles,within 5 miles is a Location entity .
i want to find the closest olive garden,i is not a named entity .
i want to find the closest olive garden,want is not a named entity .
i want to find the closest olive garden,to is not a named entity .
i want to find the closest olive garden,find is not a named entity .
i want to find the closest olive garden,the is not a named entity .
i want to find the closest olive garden,closest is a Location entity .
i want to find the closest olive garden,olive garden is a Restaurant_Name entity .
where are the very highly rated and reasonably priced restaurants,where is not a named entity .
where are the very highly rated and reasonably priced restaurants,are is not a named entity .
where are the very highly rated and reasonably priced restaurants,the is not a named entity .
where are the very highly rated and reasonably priced restaurants,very is not a named entity .
where are the very highly rated and reasonably priced restaurants,highly rated is a Rating entity .
where are the very highly rated and reasonably priced restaurants,and is not a named entity .
where are the very highly rated and reasonably priced restaurants,reasonably is a Price entity .
where are the very highly rated and reasonably priced restaurants,priced is not a named entity .
where are the very highly rated and reasonably priced restaurants,restaurants is not a named entity .
id like to try a four star restaurant that has a lunch menu,id is not a named entity .
id like to try a four star restaurant that has a lunch menu,like is not a named entity .
id like to try a four star restaurant that has a lunch menu,to is not a named entity .
id like to try a four star restaurant that has a lunch menu,try is not a named entity .
id like to try a four star restaurant that has a lunch menu,a is not a named entity .
id like to try a four star restaurant that has a lunch menu,four star is a Rating entity .
id like to try a four star restaurant that has a lunch menu,restaurant is not a named entity .
id like to try a four star restaurant that has a lunch menu,that is not a named entity .
id like to try a four star restaurant that has a lunch menu,has is not a named entity .
id like to try a four star restaurant that has a lunch menu,a is not a named entity .
id like to try a four star restaurant that has a lunch menu,lunch is a Hours entity .
id like to try a four star restaurant that has a lunch menu,menu is not a named entity .
find me someplace with awesome barbecue dishes in holbrook,find is not a named entity .
find me someplace with awesome barbecue dishes in holbrook,me is not a named entity .
find me someplace with awesome barbecue dishes in holbrook,someplace is not a named entity .
find me someplace with awesome barbecue dishes in holbrook,with is not a named entity .
find me someplace with awesome barbecue dishes in holbrook,awesome is a Rating entity .
find me someplace with awesome barbecue dishes in holbrook,barbecue is a Dish entity .
find me someplace with awesome barbecue dishes in holbrook,dishes is not a named entity .
find me someplace with awesome barbecue dishes in holbrook,in is not a named entity .
find me someplace with awesome barbecue dishes in holbrook,holbrook is a Location entity .
where can i get the best cake,where is not a named entity .
where can i get the best cake,can is not a named entity .
where can i get the best cake,i is not a named entity .
where can i get the best cake,get is not a named entity .
where can i get the best cake,the is not a named entity .
where can i get the best cake,best is a Rating entity .
where can i get the best cake,cake is a Dish entity .
im craving some cheap sausages who has that and opens before noon,im is not a named entity .
im craving some cheap sausages who has that and opens before noon,craving is not a named entity .
im craving some cheap sausages who has that and opens before noon,some is not a named entity .
im craving some cheap sausages who has that and opens before noon,cheap is a Price entity .
im craving some cheap sausages who has that and opens before noon,sausages is a Dish entity .
im craving some cheap sausages who has that and opens before noon,who is not a named entity .
im craving some cheap sausages who has that and opens before noon,has is not a named entity .
im craving some cheap sausages who has that and opens before noon,that is not a named entity .
im craving some cheap sausages who has that and opens before noon,and is not a named entity .
im craving some cheap sausages who has that and opens before noon,opens before noon is a Hours entity .
im looking for a not too espensive restaurant that offers halal food,im is not a named entity .
im looking for a not too espensive restaurant that offers halal food,looking is not a named entity .
im looking for a not too espensive restaurant that offers halal food,for is not a named entity .
im looking for a not too espensive restaurant that offers halal food,a is not a named entity .
im looking for a not too espensive restaurant that offers halal food,not too espensive is a Price entity .
im looking for a not too espensive restaurant that offers halal food,restaurant is not a named entity .
im looking for a not too espensive restaurant that offers halal food,that is not a named entity .
im looking for a not too espensive restaurant that offers halal food,offers is not a named entity .
im looking for a not too espensive restaurant that offers halal food,halal is a Cuisine entity .
im looking for a not too espensive restaurant that offers halal food,food is not a named entity .
what is the rating on subway,what is not a named entity .
what is the rating on subway,is is not a named entity .
what is the rating on subway,the is not a named entity .
what is the rating on subway,rating is a Rating entity .
what is the rating on subway,on is not a named entity .
what is the rating on subway,subway is a Restaurant_Name entity .
is there a starbucks nearby,is is not a named entity .
is there a starbucks nearby,there is not a named entity .
is there a starbucks nearby,a is not a named entity .
is there a starbucks nearby,starbucks is a Restaurant_Name entity .
is there a starbucks nearby,nearby is a Location entity .
is there a steak house still open in this city,is is not a named entity .
is there a steak house still open in this city,there is not a named entity .
is there a steak house still open in this city,a is not a named entity .
is there a steak house still open in this city,steak house is a Cuisine entity .
is there a steak house still open in this city,still open is a Hours entity .
is there a steak house still open in this city,in this city is a Location entity .
wheres the closest restaurant with free wifi,wheres is not a named entity .
wheres the closest restaurant with free wifi,the is not a named entity .
wheres the closest restaurant with free wifi,closest is a Location entity .
wheres the closest restaurant with free wifi,restaurant is not a named entity .
wheres the closest restaurant with free wifi,with is not a named entity .
wheres the closest restaurant with free wifi,free wifi is a Amenity entity .
